record_id,date,time,season,month,day_of_week,temperature,pressure,humidity,wind_speed,weather_condition
3110,5/10/2023,13:00:00,Spring,5.0,Wednesday,19.55,1011.3,58.46,16.04,RAINY
668,1/28/2023,19:00:00,Winter,1.0,Saturday,10.76,1018.01,44.55,15.49,Sunny
1373,2/27/2023,4:00:00,Winter,2.0,Monday,4.44,1009.92,48.83,18.13,Sunny
3422,5/23/2023,13:00:00,Spring,5.0,Tuesday,21.48,1024.77,68.61,18.54,stormy
647,1/27/2023,22:00:00,Winter,1.0,Friday,13.48,1007.99,35.21,10.78,sunny
646,1/27/2023,21:00:00,Winter,1.0,Friday,9.86,1016.11,54.2,19.34,windy
2573,4/18/2023,4:00:00,Spring,4.0,Tuesday,15.07,1006.99,40.02,3.65,rainy
3345,5/20/2023,8:00:00,Spring,5.0,Saturday,15.85,1009.11,75.7,15.36,WINDY
1349,2/26/2023,4:00:00,Winter,2.0,Sunday,8.51,1014.19,33.83,16.82,cloudy
3069,5/8/2023,20:00:00,Spring,5.0,Monday,17.2,1003.49,57.91,18.16,Windy
3162,5/12/2023,17:00:00,Spring,5.0,Friday,19.55,1025.9,72.96,9.26,Cloudy
2774,4/26/2023,13:00:00,Spring,4.0,Wednesday,17.69,1014.31,46.04,15.7,rainy
358,1/15/2023,21:00:00,Winter,1.0,Sunday,6.89,1010.79,59.61,16.89,rainy
3391,5/22/2023,6:00:00,Spring,5.0,Monday,18.25,1014.36,26.71,9.76,FOGGY
340,1/15/2023,3:00:00,Winter,1.0,Sunday,5.27,1016.13,32.82,13.1,foggy
2133,3/30/2023,20:00:00,SPRING,3.0,Thursday,23.05,1009.43,41.77,3.34,RAINY
432,1/18/2023,23:00:00,Winter,1.0,Wednesday,3.32,1021.69,46.96,16.85,sunny
2805,4/27/2023,20:00:00,Spring,4.0,Thursday,23.52,1011.98,64.63,9.7,Cloudy
1856,3/19/2023,7:00:00,Spring,3.0,Sunday,15.86,1012.92,37.99,18.18,Sunny 
3404,5/22/2023,19:00:00,Spring,5.0,Monday,12.72,1007.24,92.28,12.82, Foggy
2502,4/15/2023,5:00:00,Spring,4.0,Saturday,23.99,1006.83,70.01,7.31,Cludy
1232,2/21/2023,7:00:00,Winter,2.0,Tuesday,10.24,1008.99,48.27,13.43,windy
3410,5/23/2023,1:00:00,Spring,5.0,Tuesday,15.31,1001.13,80.17,12.64,RAINY
783,2/2/2023,14:00:00,Winter,2.0,Thursday,8.36,1009.71,53.66,11.77,Stormy
1424,3/1/2023,7:00:00,Spring,3.0,Wednesday,19.66,1004.62,80.67,15.14,FOGGY
1259,2/22/2023,10:00:00,Winter,2.0,Wednesday,11.66,1017.31,65.74,26.37,FOGGY
1613,3/9/2023,4:00:00,Spring,3.0,Thursday,6.74,1015.69,50.91,17.82,Cloudy
1191,2/19/2023,14:00:00,Winter,2.0,Sunday,1.65,1018.35,65.08,14.31,Foggy
3154,5/12/2023,9:00:00,Spring,5.0,Friday,10.36,1025.46,56.13,14.93,Rainy
2273,4/5/2023,16:00:00,Spring,4.0,Wednesday,17.34,1008.38,65.46,9.91,windy
2608,4/19/2023,15:00:00,Spring,4.0,Wednesday,23.53,1003,48.66,18.17, Foggy
842,2/5/2023,1:00:00,Winter,2.0,Sunday,4.45,1028.63,47.11,13.07,Windy
1929,3/22/2023,8:00:00,Spring,3.0,Wednesday,16.76,1015.67,74.49,16.01,WINDY
1064,2/14/2023,7:00:00,Winter,2.0,Tuesday,9.05,1004.27,58.51,18.21,Cludy
2343,4/8/2023,14:00:00,Spring,4.0,Saturday,22.88,1015.95,32.41,11.7,Cludy
705,1/30/2023,8:00:00,Winter,1.0,Monday,10.41,1015.95,60.91,0.43,sunny
2850,4/29/2023,17:00:00,Spring,4.0,Saturday,18.59,1006.57,54.43,10.74,Foggy
2401,4/11/2023,0:00:00,Spring,4.0,Tuesday,7.01,1023.15,57.85,9.72,stormy
595,1/25/2023,18:00:00,Winter,1.0,Wednesday,6.2,1002.39,48.8,13.56,SUNNY
232,1/10/2023,15:00:00,Winter,1.0,Tuesday,13.98,1000.81,46.62,14.26,Stormy
734,1/31/2023,13:00:00,Winter,1.0,tuesday,3.55,1020.64,68.14,20.84,RAINY
304,1/13/2023,15:00:00,Winter,1.0,Friday,4.41,1020.16,50.58,19.49,Foggy
1768,3/15/2023,15:00:00,Spring,3.0,Wednesday,26.03,996.35,73.09,6.38,Stromy
1774,3/15/2023,21:00:00,Spring,3.0,Wednesday,10.7,1022.53,65.13,1.7,foggy
615,1/26/2023,14:00:00,Winter,1.0,Thursday,5.1,1014.92,-15,14.83,Rainy 
2017,3/26/2023,0:00:00,Spring,3.0,Sunday,13.59,1013.72,72.47,17.55,Foggy
2824,4/28/2023,3:00 PM,Spring,4.0,Friday,23.89,1027.67,28.43,4.62,windy
2873,4/30/2023,16:00:00,Spring,4.0,Sunday,14.86,1022.66,42.79,13.08,Foggy
1172,2/18/2023,19:00:00,Winter,2.0,Saturday,2.81,1018.32,43.06,6.3,foggy
231,1/10/2023,14:00:00,WINTER,1.0,tuesday,13.37,1004.79,56.99,7.8,windy
700,1/30/2023,3:00:00,Winter,1.0,Monday,10.87,998.71,49.61,13.81,WINDY
2807,4/27/2023,22:00:00,Spring,4.0,Thursday,22.3,990.86,95.72,21.01,Stromy
1662,3/11/2023,5:00:00,spring,3.0,Saturday,13.11,1027.39,63.29,6.38,CLOUDY
765,2/1/2023,20:00:00,Winter,2.0,Wednesday,5.22,1014.64,36.97,9.63,Cloudy
460,1/20/2023,3:00:00,Winter,1.0,Friday,2.28,1013.87,54.5,10.75,Rainy 
810,2/3/2023,17:00:00,Winter,2.0,Friday,13.04,1002.96,57.77,17.63,Cloudy
1658,3/11/2023,1:00:00,Spring,3.0,Saturday,15.04,1016.52,31.48,14.74,stormy
86,4/1/2023,13:00:00,Winter,1.0,Wednesday,3.89,1014.95,58.67,8.96,Windy
2395,4/10/2023,18:00:00,Spring,4.0,Monday,9.95,1019.03,38.77,9.97,Rainy 
115,1/5/2023,18:00:00,Winter,1.0,Thursday,7.46,1004.72,46.7,4.81,Stormy
3214,5/14/2023,21:00:00,Spring,5.0,SUNDAY,14.09,1009.32,37.47,1.13,CLOUDY
1241,2/21/2023,16:00:00,Winter,2.0,Tuesday,6.41,1004.76,53.15,13.85,stormy
2553,4/17/2023,8:00:00,Spring,4.0,Monday,18.05,1007.49,50.34,14.42,Rainy
1821,3/17/2023,20:00:00,Spring,3.0,Friday,14.13,1023.94,84.5,11.77,SUNNY
1795,3/16/2023,18:00:00,Spring,3.0,Thursday,23.94,1005.28,48.78,7.65,cloudy
1197,2/19/2023,8:00 PM,winter,2.0,SUNDAY,21.78,1010.56,65.96,8.1,Windy
759,2/1/2023,14:00:00,Winter,2.0,Wednesday,10.27,1005.14,55.88,14.68,CLOUDY
543,1/23/2023,14:00:00,Winter,1.0,Monday,6.83,1016.73,69.81,11.54,WINDY
1109,2/16/2023,4:00:00,Winter,2.0,Thursday,9.13,1008.51,46.7,16.18,CLOUDY
2718,4/24/2023,5:00:00,Spring,4.0,Monday,14.44,1017.76,74.48,13.69,Cloudy
2145,3/31/2023,8:00 AM,Spring,3.0,Friday,18.08,1005.1,21.16,14.59,windy
1279,2/23/2023,6:00:00,Winter,2.0,Thursday,7.8,1001.77,52.99,15.12,Stromy
1066,2/14/2023,9:00:00,Winter,2.0,Tuesday,12.99,1010.71,66.39,10.25,RAINY
1035,2/13/2023,2:00:00,Winter,2.0,Monday,7.72,1015.7,68.37,12.03,windy
633,1/27/2023,8:00:00,Winter,1.0,Friday,18.28,1003.95,62.1,6.44,SUNNY
3175,5/13/2023,6:00:00,Spring,5.0,Saturday,25.12,1011.93,34.2,8.86,RAINY
1586,3/8/2023,1:00:00,Spring,3.0,Wednesday,13.37,1012.09,52.85,11.01,rainy
930,2/8/2023,17:00:00,Winter,2.0,wednesday,24.22,1031.46,52.28,11.36,windy
1237,2/21/2023,12:00:00,Winter,2.0,Tuesday,16.74,1021.32,43.9,3.99,cloudy
