record_id,date,time,season,month,day_of_week,temperature,pressure,humidity,wind_speed,weather_condition
3110,2023-05-10,13:00:00,Spring,5,Wednesday,19.55,1011.3,58.46,16.04,RAINY
668,2023-01-28,19:00:00,Winter,1,Saturday,10.76,1018.01,44.55,15.49,Sunny
1373,2023-02-27,04:00:00,Winter,2,Monday,4.44,1009.92,48.83,18.13,Sunny
2039,2023-03-26,22:00:00,Spring,3,sunday,15.48,,68.89,9.68,foggy
785,2023-02-02,16:00:00,Winter,2,Thursday,,,62.1,10.39,windy
3422,2023-05-23,13:00:00,Spring,5,Tuesday,21.48,1024.77,68.61,18.54,stormy
647,2023-01-27,22:00:00,Winter,1,Friday,13.48,1007.99,35.21,10.78,sunny
646,2023-01-27,21:00:00,Winter,1,Friday,9.86,1016.11,54.2,19.34,windy
2573,2023-04-18,04:00:00,Spring,4,Tuesday,15.07,1006.99,40.02,3.65,rainy
461,2023-01-20,04:00:00,Winter,1,Friday,7.36,,46.77,12.56,RAINY
3345,2023-05-20,08:00:00,Spring,5,Saturday,15.85,1009.11,75.7,15.36,WINDY
1381,2023-02-27,12:00:00,Winter,2,Monday,4.27,1007.71,66.3,8.31,
604,2023-01-26,03:00:00,Winter,1,Thursday,2.39,1005.66,70.26,13.63,
1349,2023-02-26,04:00:00,Winter,2,Sunday,8.51,1014.19,33.83,16.82,cloudy
3069,2023-05-08,20:00:00,Spring,5,Monday,17.2,1003.49,57.91,18.16,Windy
3162,2023-05-12,17:00:00,Spring,5,Friday,19.55,1025.9,72.96,9.26,Cloudy
2774,2023-04-26,13:00:00,Spring,4,Wednesday,17.69,1014.31,46.04,15.7,rainy
416,2023-01-18,07:00:00,Winter,1,Wednesday,14.59,,23.17,8.35,
358,2023-01-15,21:00:00,Winter,1,Sunday,6.89,1010.79,59.61,16.89,rainy
1204,2023-02-20,03:00:00,Winter,2,Monday,11.3,1006.57,,10.51,Cludy
2412,2023-04-11,11:00:00,SPRING,4,Tuesday,,1010.66,62.53,11.83,stormy
3391,2023-05-22,06:00:00,Spring,5,Monday,18.25,1014.36,26.71,9.76,FOGGY
1992,2023-03-24,23:00:00,Spring,3,Friday,15.2,1009.32,70.45,, Foggy
340,2023-01-15,03:00:00,Winter,1,Sunday,5.27,1016.13,32.82,13.1,foggy
2120,2023-03-30,07:00:00,SPRING,3,THURSDAY,,1000.59,88.21,3.91,FOGGY
2697,2023-04-23,08:00:00,Spring,4,Sunday,25.9,1020.33,,11.52,rainy
1861,2023-03-19,12:00:00,Spring,3,Sunday,,1035.34,56.37,16.73,Rainy
2133,2023-03-30,20:00:00,SPRING,3,Thursday,23.05,1009.43,41.77,3.34,RAINY
1160,2023-02-18,07:00:00,Winter,2,Saturday,10.62,1003.24,,4.99,RAINY
432,2023-01-18,23:00:00,Winter,1,Wednesday,3.32,1021.69,46.96,16.85,sunny
2805,2023-04-27,20:00:00,Spring,4,Thursday,23.52,1011.98,64.63,9.7,Cloudy
1030,2023-02-12,21:00:00,Winter,2,Sunday,,997.88,48.18,5.76,FOGGY
1856,2023-03-19,07:00:00,Spring,3,Sunday,15.86,1012.92,37.99,18.18,Sunny 
3404,2023-05-22,19:00:00,Spring,5,Monday,12.72,1007.24,92.28,12.82, Foggy
2502,2023-04-15,05:00:00,Spring,4,Saturday,23.99,1006.83,70.01,7.31,Cludy
